Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021, GNI - 2021,Population - 2023
49,Barbados,91.6,Central America,1.0,0,0.79,9.9,12306.0,281.996
66,Costa Rica,88.34,Central America,0.98,1,0.809,8.8,19974.0,5212173
74,Bahamas,86.99,Central America,0.96,0,0.812,12.6,30486.0,412.624
82,Trinidad and Tobago,85.63,Central America,0.99,1,0.81,11.6,23392.0,1534937
85,Turks and Caicos Islands,84.29,Central America,0.98,0,,,,44.104
91,Cuba,83.9,Central America,1.0,0,0.764,12.5,7879.0,11194449
97,Cayman Islands,82.24,Central America,0.99,0,,,,69310
99,Haiti,82.1,Central America,0.61,0,0.535,5.6,2848.0,11724764
100,Dominican Republic,82.05,Central America,0.92,0,0.767,9.3,17990.0,11332973
102,Puerto Rico,81.99,Central America,0.93,0,,,,3260314
116,Grenade,79.34,Central America,0.96,0,0.795,9.0,13484.0,126.184
119,Panama,79.0,Central America,0.95,0,0.805,10.5,26957.0,4468087
133,British Virgin Islands,76.69,Central America,0.98,0,,,, 32291
142,Jamaica,75.08,Central America,0.89,0,0.709,9.2,8834.0,2825544
148,Saint Lucia,73.68,Central America,0.9,2,0.715,8.5,12048.0,180.251
152,Antigua and Barbuda,70.48,Central America,0.99,0,0.788,9.3,16792.0,94.298
156,El Salvador,69.63,Central America,0.88,0,0.675,7.2,8296.0,6364943
171,Dominica,66.03,Central America,0.94,0,0.72,8.1,11488.0,73.161
174,Saint Vincent and the Grenadines,63.42,Central America,0.96,0,0.751,10.8,11961.0,103.699
178,Belize,62.55,Central America,0.83,0,0.683,8.8,6309.0,410.825
180,Honduras,62.16,Central America,0.88,0,0.621,7.1,5298.0,10593798
188,Nicaragua,52.69,Central America,0.82,0,0.667,7.1,5625.0,7046311
190,Guatemala,47.72,Central America,0.79,2,0.627,5.7,8723.0,18092026
