Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021, GNI - 2021,Population - 2023
7,Belarus,101.6,Europe,1.0,2,0.808,12.1,18849.0,9498238
8,Finland,101.2,Europe,1.0,5,0.94,12.9,49452.0,5545475
9,Liechtenstein,101.07,Europe,1.0,0,0.935,12.5,146830.0,	39315
10,Germany,100.74,Europe,0.99,111,0.942,14.1,54534.0,83294633
11,Netherlands,100.74,Europe,0.99,22,0.941,12.6,55979.0,17618299
12,Estonia,100.72,Europe,1.0,0,0.89,13.5,38048.0,1322766
13,Luxembourg,99.87,Europe,1.0,2,0.93,13.0,84649.0,654.768
18,Hungary,99.24,Europe,0.99,13,0.846,12.2,32789.0,10156239
19,Switzerland,99.24,Europe,0.99,27,0.962,13.9,66933.0,8796669
20,United Kingdom,99.12,Europe,0.99,137,0.929,13.4,45225.0,67736802
22,Slovenia,98.6,Europe,1.0,1,0.918,12.8,39746.0,2119675
24,Austria,98.38,Europe,0.98,22,0.916,12.3,53619.0,8958961
25,Iceland,98.26,Europe,0.99,1,0.959,13.8,55782.0,375.319
26,Denmark,97.83,Europe,0.99,13,0.948,13.0,60365.0,5910913
27,Belgium,97.49,Europe,0.99,11,0.937,12.4,52293.0,11686140
29,Norway,97.13,Europe,1.0,13,0.961,13.0,64660.0,5474360
30,Sweden,97.0,Europe,0.99,32,0.947,12.6,54489.0,10612086
31,France,96.69,Europe,0.99,71,0.903,11.6,45937.0,64756584
32,Poland,96.35,Europe,1.0,19,0.876,13.2,33034.0,41026068
33,Slovakia,96.32,Europe,1.0,0,0.848,12.9,30690.0,5795199
34,Russia,96.29,Europe/Asia,1.0,0,0.822,12.8,27166.0,144444359
35,Lithuania,95.89,Europe,1.0,3,0.875,13.5,37931.0,2718352
36,Croatia,95.75,Europe,0.99,2,0.858,12.2,30132.0,4008617
37,Andorra,95.2,Europe,1.0,0,0.858,10.6,51167.0,76.965
38,Ireland,95.13,Europe,0.99,11,0.945,11.6,76169.0,5056935
39,Czech republic,94.92,Europe,0.99,6,0.889,12.9,38745.0,10495295
40,Latvia,94.79,Europe,1.0,1,0.863,13.3,32803.0,1830212
41,Italy,94.23,Europe,0.99,21,0.895,10.7,42840.0,58870763
44,Spain,93.9,Europe,0.98,8,0.905,10.6,38354.0,47519628
46,Cyprus,93.39,Europe,0.99,1,0.896,12.4,38188.0,1260138
47,Portugal,92.77,Europe,0.95,2,0.866,9.6,33155.0,10247605
50,Malta,91.27,Europe,0.94,0,0.918,12.2,38884.0,535.065
53,Bulgaria,90.99,Europe,0.98,1,0.795,11.4,23079.0,6687717
54,Greece,90.77,Europe,0.95,2,0.887,11.4,29002.0,10341277
56,Ukraine,90.07,Europe,1.0,6,0.773,11.1,13256.0,36744634
57,Moldavia,89.98,Europe,0.99,0,0.767,11.8,14875.0,3435931
58,Serbia,89.6,Europe,0.98,0,0.802,11.4,19123.0,7149077
65,Bosnia and Herzegovina,88.54,Europe,0.98,2,0.78,10.5,15242.0,3210848
75,Romania,86.88,Europe,0.99,5,0.821,11.3,30027.0,19892812
76,Turkey,86.8,Europe/Asia,0.96,2,0.838,8.6,31033.0,85816199
81,Montenegro,85.78,Europe,0.99,0,0.832,12.2,20839.0,626.485
84,Georgia,84.5,Europe/Asia,1.0,0,0.802,12.8,14664.0,3728282
103,North Macedonia,81.91,Europe,0.98,0,0.77,10.2,15918.0,2085679
104,Albania,81.75,Europe,0.98,0,0.796,11.3,14131.0,2832439
